1;firstname1;lastname1;39;2021-03-21 06:03:30;0.6051291543567389;city1;true;-7062112746964575183
2;firstname2;lastname2;77;2021-41-22 03:41:49;0.6365016013100852;city2;false;8787013030977942854
3;firstname3;lastname3;61;2021-06-30 06:06:39;0.5212562546752953;city3;true;-4775688473015835746
4;firstname4;lastname4;88;2021-45-14 06:45:42;0.09047904002801432;city4;true;363317510761559481
5;firstname5;lastname5;18;2022-58-23 01:58:22;0.14117996500123753;city5;false;7276796295589367698
6;firstname6;lastname6;19;2021-37-18 03:37:12;0.15492726517510014;city6;true;-6729847398469189306
7;firstname7;lastname7;87;2021-55-13 04:55:32;0.3723235114659311;city7;true;-4442328485778196843
8;firstname8;lastname8;83;2021-58-27 11:58:04;0.9828626115343877;city8;false;487419492193224821
9;firstname9;lastname9;84;2022-23-05 09:23:52;0.4582598082423772;city9;false;4875538503938550353
10;firstname10;lastname10;26;2022-24-02 05:24:03;0.9143317311499991;city10;true;-2203936040739988449
11;firstname11;lastname11;89;2021-35-24 10:35:45;0.14007552213409635;city11;false;-2686458095783023344
12;firstname12;lastname12;67;2022-33-22 02:33:13;0.9524608889520723;city12;true;-9116630401654010001
13;firstname13;lastname13;71;2022-46-06 03:46:01;0.7930605260690196;city13;true;8629419770187476190
14;firstname14;lastname14;60;2021-09-30 02:09:09;0.07598789504584558;city14;true;3312300567308162370
15;firstname15;lastname15;74;2022-57-22 06:57:16;0.22117738282156107;city15;false;-3435406096864329061
16;firstname16;lastname16;26;2021-56-31 01:56:44;0.43788054120565323;city16;false;58878734228617225
17;firstname17;lastname17;33;2022-05-13 10:05:40;0.16888616577657867;city17;false;3539397966960105566
18;firstname18;lastname18;26;2022-20-29 11:20:14;0.08633284077894299;city18;true;-870983390330780308
19;firstname19;lastname19;31;2021-33-19 02:33:45;0.6082859015033554;city19;true;-2068184344747868682
20;firstname20;lastname20;34;2022-20-28 02:20:26;0.7089721671225444;city20;true;-7902805890923808921
